OrderDate,Category,Region,CustomerSegment,Channel,Price,Quantity,Discount,Revenue,Rating,Age,Month,Quarter,Year
2024-01-07,Electronics,North,New,Online,469.85,4,0.0,1879.4,3.7,29,2024-01,2024Q1,2024
2024-01-07,Clothing,Central,Returning,In-Store,169.53,5,0.15,720.5,3.3,46,2024-01,2024Q1,2024
2024-01-07,Sports,South,Returning,Mobile App,176.39,1,0.0,176.39,3.6,43,2024-01,2024Q1,2024
2024-01-07,Clothing,North,New,Mobile App,84.06,5,0.15,357.26,3.3,51,2024-01,2024Q1,2024
2024-01-08,Sports,East,Returning,Mobile App,291.02,2,0.0,582.04,4.4,57,2024-01,2024Q1,2024
2024-01-08,Sports,West,VIP,Online,35.4,5,0.0,177.0,3.6,40,2024-01,2024Q1,2024
2024-01-08,Clothing,Central,VIP,Mobile App,124.43,4,0.0,497.72,3.5,42,2024-01,2024Q1,2024
2024-01-09,Electronics,East,New,Mobile App,269.77,2,0.1,485.59,3.2,24,2024-01,2024Q1,2024
2024-01-09,Electronics,Central,New,In-Store,766.17,5,0.0,3830.85,2.8,34,2024-01,2024Q1,2024
2024-01-09,Electronics,East,VIP,In-Store,272.08,2,0.0,544.16,3.5,46,2024-01,2024Q1,2024
2024-01-10,Books,Central,VIP,Online,40.04,3,0.0,120.12,4.6,49,2024-01,2024Q1,2024
2024-01-10,Clothing,East,Returning,Online,81.7,3,0.0,245.1,3.8,43,2024-01,2024Q1,2024
2024-01-10,Home & Garden,Central,Returning,Mobile App,111.27,3,0.2,267.05,2.4,42,2024-01,2024Q1,2024
2024-01-11,Books,West,New,Mobile App,44.76,5,0.0,223.8,3.8,56,2024-01,2024Q1,2024
2024-01-11,Books,Central,New,Mobile App,5.75,2,0.0,11.5,4.1,25,2024-01,2024Q1,2024
2024-01-11,Electronics,West,Returning,In-Store,70.37,4,0.2,225.18,3.7,43,2024-01,2024Q1,2024
2024-01-11,Sports,North,New,Online,24.67,3,0.0,74.01,2.9,43,2024-01,2024Q1,2024
2024-01-12,Clothing,West,Returning,In-Store,50.69,3,0.05,144.47,3.0,28,2024-01,2024Q1,2024
2024-01-12,Electronics,South,New,In-Store,111.45,3,0.0,334.35,4.7,42,2024-01,2024Q1,2024
2024-01-12,Books,Central,VIP,Online,32.14,3,0.0,96.42,3.7,39,2024-01,2024Q1,2024
2024-01-12,Clothing,East,Returning,Online,54.49,4,0.0,217.96,4.5,47,2024-01,2024Q1,2024
2024-01-12,Electronics,East,Returning,Online,417.9,5,0.0,2089.5,3.3,31,2024-01,2024Q1,2024
2024-01-13,Electronics,Central,New,In-Store,125.82,1,0.1,113.24,2.5,18,2024-01,2024Q1,2024
2024-01-14,Sports,Central,New,Online,275.73,4,0.2,882.34,3.6,33,2024-01,2024Q1,2024
2024-01-14,Clothing,Central,Returning,In-Store,75.48,3,0.0,226.44,2.9,38,2024-01,2024Q1,2024
2024-01-14,Clothing,South,VIP,Mobile App,136.1,2,0.0,272.2,3.4,51,2024-01,2024Q1,2024
2024-01-15,Clothing,North,Returning,Online,46.43,4,0.0,185.72,3.5,25,2024-01,2024Q1,2024
2024-01-15,Clothing,West,VIP,Online,149.1,1,0.0,149.1,3.2,52,2024-01,2024Q1,2024
2024-01-15,Sports,East,VIP,Online,164.38,2,0.0,328.76,4.8,36,2024-01,2024Q1,2024
2024-01-15,Home & Garden,Central,New,In-Store,34.24,3,0.0,102.72,4.6,28,2024-01,2024Q1,2024
2024-01-15,Clothing,South,Returning,Online,34.86,2,0.2,55.78,4.2,55,2024-01,2024Q1,2024
2024-01-16,Clothing,North,Returning,In-Store,123.37,3,0.0,370.11,3.5,18,2024-01,2024Q1,2024
2024-01-16,Books,South,Returning,Online,22.36,3,0.0,67.08,4.0,47,2024-01,2024Q1,2024
2024-01-16,Books,East,New,Mobile App,19.42,5,0.0,97.1,3.6,35,2024-01,2024Q1,2024
2024-01-17,Electronics,East,New,In-Store,135.82,2,0.0,271.64,3.5,26,2024-01,2024Q1,2024
2024-01-17,Clothing,West,VIP,In-Store,129.82,5,0.0,649.1,3.9,56,2024-01,2024Q1,2024
2024-01-17,Clothing,Central,Returning,Mobile App,173.38,5,0.05,823.56,4.5,32,2024-01,2024Q1,2024
2024-01-17,Home & Garden,Central,VIP,Online,247.37,5,0.2,989.48,4.7,30,2024-01,2024Q1,2024
2024-01-17,Clothing,East,VIP,Online,119.45,2,0.1,215.01,3.7,33,2024-01,2024Q1,2024
2024-01-17,Clothing,West,Returning,Online,109.31,5,0.0,546.55,3.4,35,2024-01,2024Q1,2024
2024-01-18,Electronics,South,VIP,Mobile App,307.51,5,0.15,1306.92,2.5,36,2024-01,2024Q1,2024
2024-01-18,Clothing,East,New,Online,25.63,2,0.0,51.26,3.6,33,2024-01,2024Q1,2024
2024-01-19,Sports,South,VIP,Online,223.28,5,0.0,1116.4,3.8,28,2024-01,2024Q1,2024
2024-01-19,Home & Garden,West,New,Online,310.59,1,0.0,310.59,3.9,48,2024-01,2024Q1,2024
2024-01-20,Electronics,Central,Returning,Online,357.29,2,0.0,714.58,3.5,22,2024-01,2024Q1,2024
2024-01-20,Sports,South,Returning,Online,214.26,2,0.0,428.52,3.6,47,2024-01,2024Q1,2024
2024-01-20,Sports,East,New,Mobile App,101.29,5,0.0,506.45,2.8,39,2024-01,2024Q1,2024
2024-01-21,Electronics,Central,New,Online,1004.52,3,0.0,3013.56,2.9,23,2024-01,2024Q1,2024
2024-01-21,Home & Garden,East,VIP,Online,325.31,5,0.05,1545.22,3.1,41,2024-01,2024Q1,2024
2024-01-21,Clothing,South,Returning,In-Store,143.66,4,0.0,574.64,2.1,60,2024-01,2024Q1,2024
2024-01-21,Sports,South,VIP,Online,151.81,5,0.0,759.05,5.0,21,2024-01,2024Q1,2024
2024-01-22,Home & Garden,West,New,Online,78.45,5,0.0,392.25,3.6,44,2024-01,2024Q1,2024
2024-01-22,Sports,East,Returning,Mobile App,72.48,4,0.05,275.42,2.3,52,2024-01,2024Q1,2024
2024-01-22,Clothing,South,Returning,Online,18.89,5,0.1,85.01,2.5,39,2024-01,2024Q1,2024
2024-01-22,Sports,East,New,In-Store,98.67,5,0.0,493.35,3.7,47,2024-01,2024Q1,2024
2024-01-22,Electronics,West,New,In-Store,480.07,4,0.0,1920.28,4.6,47,2024-01,2024Q1,2024
2024-01-23,Clothing,North,Returning,Online,77.81,3,0.0,233.43,2.7,27,2024-01,2024Q1,2024
2024-01-23,Electronics,East,VIP,Online,719.57,3,0.0,2158.71,3.8,54,2024-01,2024Q1,2024
2024-01-23,Clothing,North,VIP,Online,69.6,2,0.1,125.28,3.7,29,2024-01,2024Q1,2024
2024-01-23,Books,South,Returning,Online,54.84,2,0.05,104.2,3.2,18,2024-01,2024Q1,2024
2024-01-24,Clothing,Central,VIP,Online,150.6,4,0.0,602.4,4.4,20,2024-01,2024Q1,2024
2024-01-25,Sports,West,New,In-Store,97.52,4,0.1,351.07,3.9,37,2024-01,2024Q1,2024
2024-01-25,Home & Garden,North,New,Mobile App,173.16,5,0.15,735.93,2.9,38,2024-01,2024Q1,2024
2024-01-25,Books,Central,New,In-Store,7.44,5,0.0,37.2,2.8,57,2024-01,2024Q1,2024
2024-01-25,Clothing,South,Returning,In-Store,143.41,2,0.0,286.82,2.9,46,2024-01,2024Q1,2024
2024-01-26,Sports,Central,New,In-Store,157.88,1,0.1,142.09,2.9,48,2024-01,2024Q1,2024
2024-01-26,Sports,West,Returning,Online,75.22,5,0.2,300.88,2.7,49,2024-01,2024Q1,2024
2024-01-27,Clothing,East,New,In-Store,94.37,2,0.0,188.74,3.5,46,2024-01,2024Q1,2024
2024-01-27,Sports,South,New,Online,290.34,2,0.0,580.68,3.0,48,2024-01,2024Q1,2024
2024-01-27,Electronics,East,New,Online,431.78,4,0.0,1727.12,4.4,29,2024-01,2024Q1,2024
2024-01-28,Home & Garden,East,Returning,Mobile App,450.1,5,0.1,2025.45,3.3,23,2024-01,2024Q1,2024
2024-01-28,Clothing,East,New,Online,87.69,2,0.0,175.38,3.6,53,2024-01,2024Q1,2024
2024-01-28,Home & Garden,North,VIP,In-Store,64.96,4,0.0,259.84,3.0,27,2024-01,2024Q1,2024
2024-01-28,Sports,North,Returning,In-Store,202.79,2,0.15,344.74,3.1,56,2024-01,2024Q1,2024
2024-01-28,Clothing,Central,Returning,Online,80.79,5,0.0,403.95,3.2,57,2024-01,2024Q1,2024
2024-01-29,Clothing,South,Returning,Online,162.36,2,0.0,324.72,4.5,61,2024-01,2024Q1,2024
2024-01-29,Home & Garden,East,Returning,In-Store,428.88,5,0.05,2037.18,3.0,21,2024-01,2024Q1,2024
2024-01-29,Clothing,North,Returning,Mobile App,127.36,2,0.0,254.72,3.5,31,2024-01,2024Q1,2024
2024-01-29,Electronics,East,New,Online,1005.93,3,0.0,3017.79,3.1,29,2024-01,2024Q1,2024
2024-01-29,Sports,West,Returning,In-Store,70.56,5,0.15,299.88,3.2,48,2024-01,2024Q1,2024
2024-01-29,Electronics,Central,Returning,Online,1148.07,4,0.0,4592.28,3.4,37,2024-01,2024Q1,2024
2024-01-31,Sports,North,VIP,In-Store,254.99,5,0.0,1274.95,4.6,22,2024-01,2024Q1,2024
2024-02-01,Books,Central,New,In-Store,41.49,4,0.0,165.96,4.7,45,2024-02,2024Q1,2024
2024-02-02,Clothing,East,VIP,Mobile App,20.7,5,0.0,103.5,5.0,34,2024-02,2024Q1,2024
2024-02-02,Books,East,New,Online,52.44,5,0.0,262.2,3.4,18,2024-02,2024Q1,2024
2024-02-02,Books,Central,New,Online,24.79,2,0.15,42.14,3.9,18,2024-02,2024Q1,2024
2024-02-03,Clothing,West,New,Online,74.94,3,0.1,202.34,4.9,46,2024-02,2024Q1,2024
2024-02-03,Home & Garden,East,Returning,Mobile App,38.3,1,0.0,38.3,3.7,45,2024-02,2024Q1,2024
2024-02-03,Electronics,East,Returning,Online,155.73,4,0.0,622.92,2.9,40,2024-02,2024Q1,2024
2024-02-04,Sports,East,VIP,Online,72.15,2,0.0,144.3,1.9,63,2024-02,2024Q1,2024
2024-02-04,Sports,Central,Returning,Online,236.18,1,0.05,224.37,4.5,22,2024-02,2024Q1,2024
2024-02-04,Sports,West,New,Online,49.46,5,0.0,247.3,3.1,20,2024-02,2024Q1,2024
2024-02-04,Electronics,North,New,In-Store,115.61,4,0.0,462.44,2.9,18,2024-02,2024Q1,2024
2024-02-05,Clothing,East,Returning,Online,186.35,2,0.0,372.7,3.3,44,2024-02,2024Q1,2024
2024-02-05,Clothing,East,VIP,Online,173.09,4,0.0,692.36,4.4,43,2024-02,2024Q1,2024
2024-02-06,Books,East,New,Mobile App,58.12,4,0.0,232.48,3.8,41,2024-02,2024Q1,2024
2024-02-06,Books,West,Returning,In-Store,22.21,3,0.2,53.3,3.1,40,2024-02,2024Q1,2024
2024-02-06,Sports,West,VIP,In-Store,70.4,4,0.0,281.6,3.8,20,2024-02,2024Q1,2024
2024-02-06,Books,North,Returning,Online,56.76,5,0.05,269.61,2.8,43,2024-02,2024Q1,2024
2024-02-06,Electronics,Central,VIP,Online,762.03,5,0.0,3810.15,3.8,37,2024-02,2024Q1,2024
2024-02-07,Clothing,West,Returning,Online,96.22,1,0.0,96.22,3.4,48,2024-02,2024Q1,2024
2024-02-07,Books,North,New,In-Store,19.88,2,0.0,39.76,4.8,62,2024-02,2024Q1,2024
2024-02-08,Electronics,South,New,Mobile App,627.47,3,0.0,1882.41,2.6,37,2024-02,2024Q1,2024
2024-02-08,Electronics,South,VIP,In-Store,99.16,1,0.0,99.16,3.1,49,2024-02,2024Q1,2024
2024-02-08,Clothing,North,Returning,Online,118.21,1,0.0,118.21,3.1,37,2024-02,2024Q1,2024
2024-02-08,Clothing,East,Returning,Online,80.06,2,0.0,160.12,2.3,29,2024-02,2024Q1,2024
2024-02-08,Sports,East,VIP,Online,281.58,5,0.2,1126.32,4.1,50,2024-02,2024Q1,2024
2024-02-08,Books,West,Returning,Online,52.26,4,0.0,209.04,3.1,39,2024-02,2024Q1,2024
2024-02-08,Clothing,West,New,In-Store,165.86,3,0.2,398.06,5.0,40,2024-02,2024Q1,2024
2024-02-08,Electronics,South,Returning,Mobile App,225.46,1,0.0,225.46,3.9,37,2024-02,2024Q1,2024
2024-02-08,Electronics,North,Returning,Online,1176.31,2,0.0,2352.62,4.7,37,2024-02,2024Q1,2024
2024-02-08,Electronics,Central,New,Mobile App,862.84,4,0.0,3451.36,4.7,30,2024-02,2024Q1,2024
2024-02-09,Clothing,North,Returning,In-Store,149.82,2,0.0,299.64,4.5,46,2024-02,2024Q1,2024
2024-02-09,Electronics,South,Returning,Mobile App,250.74,3,0.0,752.22,3.0,33,2024-02,2024Q1,2024
2024-02-09,Clothing,South,Returning,In-Store,138.5,5,0.0,692.5,4.2,18,2024-02,2024Q1,2024
2024-02-09,Home & Garden,West,New,Mobile App,481.01,1,0.0,481.01,3.0,54,2024-02,2024Q1,2024
2024-02-09,Home & Garden,North,Returning,Online,144.44,2,0.0,288.88,3.6,66,2024-02,2024Q1,2024
2024-02-10,Clothing,East,Returning,In-Store,118.73,1,0.0,118.73,5.0,42,2024-02,2024Q1,2024
2024-02-10,Electronics,North,New,Mobile App,907.74,4,0.05,3449.41,3.2,37,2024-02,2024Q1,2024
2024-02-10,Clothing,South,Returning,Online,24.62,2,0.0,49.24,2.6,45,2024-02,2024Q1,2024
2024-02-10,Clothing,Central,New,Online,124.31,5,0.0,621.55,3.4,28,2024-02,2024Q1,2024
2024-02-11,Clothing,South,Returning,Online,68.12,5,0.0,340.6,3.9,53,2024-02,2024Q1,2024
2024-02-11,Electronics,North,Returning,Mobile App,540.04,5,0.0,2700.2,4.0,42,2024-02,2024Q1,2024
2024-02-11,Home & Garden,East,VIP,Online,21.73,4,0.0,86.92,4.8,34,2024-02,2024Q1,2024
2024-02-11,Electronics,West,Returning,Online,382.79,2,0.0,765.58,3.9,53,2024-02,2024Q1,2024
2024-02-12,Home & Garden,East,Returning,Online,318.57,3,0.15,812.35,3.1,60,2024-02,2024Q1,2024
2024-02-12,Home & Garden,East,Returning,In-Store,191.15,1,0.0,191.15,3.0,30,2024-02,2024Q1,2024
2024-02-13,Electronics,South,Returning,Mobile App,166.79,1,0.0,166.79,4.5,28,2024-02,2024Q1,2024
2024-02-15,Clothing,South,VIP,Online,117.31,3,0.0,351.93,3.0,35,2024-02,2024Q1,2024
2024-02-15,Sports,East,Returning,Online,270.13,1,0.05,256.62,3.4,44,2024-02,2024Q1,2024
2024-02-15,Electronics,East,Returning,In-Store,1108.51,4,0.0,4434.04,3.4,39,2024-02,2024Q1,2024
2024-02-15,Books,North,Returning,In-Store,18.75,4,0.0,75.0,4.2,28,2024-02,2024Q1,2024
2024-02-16,Home & Garden,West,New,Online,273.46,2,0.0,546.92,3.7,53,2024-02,2024Q1,2024
2024-02-16,Clothing,North,Returning,Mobile App,31.09,5,0.05,147.68,2.6,29,2024-02,2024Q1,2024
2024-02-16,Electronics,West,VIP,Online,677.52,5,0.05,3218.22,3.4,30,2024-02,2024Q1,2024
2024-02-16,Books,West,Returning,Online,27.38,3,0.0,82.14,3.6,40,2024-02,2024Q1,2024
2024-02-16,Clothing,West,Returning,Mobile App,36.08,1,0.0,36.08,3.5,54,2024-02,2024Q1,2024
2024-02-16,Sports,East,Returning,Online,96.43,4,0.05,366.43,3.8,44,2024-02,2024Q1,2024
2024-02-16,Electronics,Central,New,In-Store,1199.88,2,0.15,2039.8,3.9,51,2024-02,2024Q1,2024
2024-02-17,Home & Garden,North,New,In-Store,323.62,5,0.1,1456.29,3.0,29,2024-02,2024Q1,2024
2024-02-17,Electronics,Central,Returning,In-Store,358.89,1,0.0,358.89,4.1,42,2024-02,2024Q1,2024
2024-02-18,Home & Garden,Central,Returning,Mobile App,59.16,2,0.05,112.4,3.4,38,2024-02,2024Q1,2024
2024-02-18,Electronics,North,Returning,In-Store,436.52,1,0.0,436.52,3.7,27,2024-02,2024Q1,2024
2024-02-20,Sports,South,Returning,In-Store,46.52,4,0.15,158.17,2.9,35,2024-02,2024Q1,2024
2024-02-20,Sports,North,Returning,Online,92.71,3,0.0,278.13,3.1,27,2024-02,2024Q1,2024
2024-02-20,Books,East,Returning,Online,21.45,2,0.0,42.9,4.4,43,2024-02,2024Q1,2024
2024-02-20,Electronics,North,New,Online,1044.36,3,0.0,3133.08,3.8,54,2024-02,2024Q1,2024
2024-02-20,Electronics,South,Returning,Online,341.48,3,0.05,973.22,2.5,47,2024-02,2024Q1,2024
2024-02-22,Sports,East,Returning,Online,206.59,5,0.0,1032.95,2.4,18,2024-02,2024Q1,2024
2024-02-22,Clothing,Central,Returning,Online,194.08,2,0.0,388.16,4.5,39,2024-02,2024Q1,2024
2024-02-22,Electronics,North,New,Online,1000.43,5,0.1,4501.93,3.0,18,2024-02,2024Q1,2024
2024-02-22,Electronics,East,Returning,Mobile App,1006.08,3,0.05,2867.33,3.2,38,2024-02,2024Q1,2024
2024-02-22,Clothing,East,VIP,Online,57.34,3,0.0,172.02,5.0,18,2024-02,2024Q1,2024
2024-02-23,Sports,Central,New,Mobile App,15.23,2,0.1,27.41,3.5,23,2024-02,2024Q1,2024
2024-02-23,Electronics,West,New,Online,500.7,2,0.05,951.33,4.0,33,2024-02,2024Q1,2024
2024-02-23,Books,West,Returning,In-Store,52.61,2,0.0,105.22,4.4,30,2024-02,2024Q1,2024
2024-02-23,Clothing,Central,VIP,Mobile App,118.53,2,0.15,201.5,5.0,44,2024-02,2024Q1,2024
2024-02-23,Sports,North,New,Online,119.95,3,0.0,359.85,3.8,40,2024-02,2024Q1,2024
2024-02-24,Home & Garden,Central,VIP,Online,348.51,3,0.05,993.25,4.2,49,2024-02,2024Q1,2024
2024-02-24,Electronics,South,Returning,Mobile App,375.32,2,0.0,750.64,2.8,24,2024-02,2024Q1,2024
2024-02-24,Clothing,Central,New,In-Store,140.49,5,0.0,702.45,3.2,41,2024-02,2024Q1,2024
2024-02-25,Home & Garden,West,New,Online,208.41,5,0.15,885.74,3.5,47,2024-02,2024Q1,2024
2024-02-25,Clothing,South,New,In-Store,118.75,1,0.05,112.81,5.0,43,2024-02,2024Q1,2024
2024-02-27,Electronics,East,Returning,Online,172.05,1,0.0,172.05,3.8,47,2024-02,2024Q1,2024
2024-02-27,Electronics,Central,Returning,In-Store,833.47,3,0.0,2500.41,3.3,40,2024-02,2024Q1,2024
2024-02-27,Electronics,North,New,Mobile App,1071.05,2,0.0,2142.1,4.5,34,2024-02,2024Q1,2024
2024-02-27,Clothing,Central,New,In-Store,88.41,5,0.0,442.05,4.9,39,2024-02,2024Q1,2024
2024-02-28,Electronics,Central,New,Mobile App,317.54,4,0.05,1206.65,1.8,50,2024-02,2024Q1,2024
2024-02-28,Home & Garden,South,New,Online,489.69,4,0.0,1958.76,3.2,24,2024-02,2024Q1,2024
2024-02-28,Home & Garden,South,Returning,Online,423.02,1,0.0,423.02,4.0,18,2024-02,2024Q1,2024
2024-02-28,Clothing,North,Returning,Mobile App,181.64,3,0.0,544.92,3.4,23,2024-02,2024Q1,2024
2024-02-29,Electronics,North,New,Online,153.34,2,0.0,306.68,3.1,53,2024-02,2024Q1,2024
2024-03-01,Electronics,West,Returning,In-Store,97.5,1,0.2,78.0,4.4,50,2024-03,2024Q1,2024
2024-03-01,Clothing,South,Returning,Mobile App,188.11,2,0.05,357.41,3.8,53,2024-03,2024Q1,2024
2024-03-01,Sports,North,VIP,Mobile App,118.44,4,0.15,402.7,5.0,40,2024-03,2024Q1,2024
2024-03-02,Home & Garden,East,Returning,In-Store,285.26,5,0.05,1354.98,3.6,42,2024-03,2024Q1,2024
2024-03-02,Clothing,East,Returning,Online,133.19,5,0.05,632.65,4.5,39,2024-03,2024Q1,2024
2024-03-02,Home & Garden,South,New,Online,381.81,1,0.0,381.81,3.8,25,2024-03,2024Q1,2024
2024-03-03,Clothing,East,New,Online,94.72,4,0.15,322.05,2.4,51,2024-03,2024Q1,2024
2024-03-03,Electronics,West,Returning,Mobile App,673.91,2,0.0,1347.82,2.9,18,2024-03,2024Q1,2024
2024-03-03,Clothing,South,New,Online,158.87,2,0.05,301.85,3.9,39,2024-03,2024Q1,2024
2024-03-03,Books,North,Returning,Online,7.16,1,0.05,6.8,3.7,32,2024-03,2024Q1,2024
2024-03-04,Home & Garden,South,VIP,Online,436.54,3,0.15,1113.18,4.4,32,2024-03,2024Q1,2024
2024-03-05,Electronics,North,New,Online,516.99,5,0.1,2326.46,2.5,56,2024-03,2024Q1,2024
2024-03-05,Home & Garden,Central,Returning,Mobile App,168.5,5,0.2,674.0,4.1,43,2024-03,2024Q1,2024
2024-03-06,Sports,North,Returning,Online,277.92,5,0.05,1320.12,3.3,45,2024-03,2024Q1,2024
2024-03-07,Electronics,Central,Returning,Online,362.64,4,0.1,1305.5,3.6,23,2024-03,2024Q1,2024
2024-03-09,Clothing,East,Returning,Online,198.52,4,0.1,714.67,3.3,21,2024-03,2024Q1,2024
2024-03-09,Electronics,Central,Returning,Mobile App,1198.34,4,0.0,4793.36,4.6,47,2024-03,2024Q1,2024
2024-03-09,Sports,North,New,In-Store,142.76,4,0.15,485.38,3.8,28,2024-03,2024Q1,2024
2024-03-09,Sports,South,Returning,Online,253.56,3,0.15,646.58,2.6,27,2024-03,2024Q1,2024
2024-03-09,Clothing,Central,Returning,In-Store,61.47,2,0.0,122.94,4.4,31,2024-03,2024Q1,2024
2024-03-10,Home & Garden,Central,New,Mobile App,320.53,5,0.0,1602.65,2.8,47,2024-03,2024Q1,2024
2024-03-12,Electronics,West,New,Mobile App,327.73,4,0.0,1310.92,2.8,36,2024-03,2024Q1,2024
2024-03-12,Home & Garden,South,Returning,In-Store,374.46,4,0.1,1348.06,3.5,47,2024-03,2024Q1,2024
2024-03-12,Electronics,East,Returning,Mobile App,465.86,1,0.0,465.86,4.4,42,2024-03,2024Q1,2024
2024-03-13,Books,East,VIP,Online,43.41,4,0.15,147.59,2.9,56,2024-03,2024Q1,2024
2024-03-13,Electronics,Central,VIP,Online,621.03,2,0.0,1242.06,3.3,25,2024-03,2024Q1,2024
2024-03-13,Electronics,Central,Returning,Online,419.12,1,0.0,419.12,4.1,18,2024-03,2024Q1,2024
2024-03-14,Electronics,East,New,Online,1127.16,4,0.0,4508.64,1.5,48,2024-03,2024Q1,2024
2024-03-15,Home & Garden,Central,VIP,Online,394.31,4,0.15,1340.65,4.0,53,2024-03,2024Q1,2024
2024-03-15,Clothing,South,VIP,Mobile App,182.06,4,0.0,728.24,4.7,19,2024-03,2024Q1,2024
2024-03-15,Sports,North,New,In-Store,210.1,3,0.1,567.27,3.4,32,2024-03,2024Q1,2024
2024-03-15,Books,South,Returning,In-Store,42.4,1,0.0,42.4,3.5,47,2024-03,2024Q1,2024
2024-03-15,Books,East,VIP,Mobile App,29.65,1,0.0,29.65,3.7,31,2024-03,2024Q1,2024
2024-03-15,Sports,Central,VIP,Online,40.51,3,0.05,115.45,3.2,32,2024-03,2024Q1,2024
2024-03-16,Books,North,VIP,Online,32.67,3,0.05,93.11,4.2,29,2024-03,2024Q1,2024
2024-03-16,Sports,West,New,Online,262.19,5,0.0,1310.95,4.4,41,2024-03,2024Q1,2024
2024-03-18,Home & Garden,East,Returning,In-Store,392.76,3,0.0,1178.28,4.0,48,2024-03,2024Q1,2024
2024-03-18,Home & Garden,North,Returning,In-Store,50.23,2,0.0,100.46,2.8,37,2024-03,2024Q1,2024
2024-03-18,Home & Garden,South,Returning,Online,81.94,3,0.0,245.82,2.3,45,2024-03,2024Q1,2024
2024-03-18,Home & Garden,West,Returning,In-Store,119.73,5,0.0,598.65,2.9,47,2024-03,2024Q1,2024
2024-03-18,Electronics,West,New,Mobile App,455.35,5,0.05,2162.91,4.7,18,2024-03,2024Q1,2024
2024-03-19,Clothing,North,Returning,Online,76.33,3,0.05,217.54,4.0,28,2024-03,2024Q1,2024
2024-03-20,Electronics,West,Returning,Mobile App,873.92,5,0.0,4369.6,3.7,44,2024-03,2024Q1,2024
2024-03-21,Electronics,North,VIP,Online,322.3,3,0.0,966.9,2.9,31,2024-03,2024Q1,2024
2024-03-21,Electronics,Central,Returning,Online,288.33,4,0.0,1153.32,3.7,36,2024-03,2024Q1,2024
2024-03-21,Books,North,New,Online,11.78,5,0.0,58.9,3.0,24,2024-03,2024Q1,2024
2024-03-21,Home & Garden,Central,Returning,Online,221.0,2,0.0,442.0,4.6,45,2024-03,2024Q1,2024
2024-03-22,Electronics,West,VIP,In-Store,227.88,5,0.0,1139.4,3.3,35,2024-03,2024Q1,2024
2024-03-22,Clothing,South,Returning,Online,60.61,5,0.15,257.59,3.7,42,2024-03,2024Q1,2024
2024-03-23,Clothing,North,Returning,Online,34.97,5,0.0,174.85,3.6,60,2024-03,2024Q1,2024
2024-03-24,Electronics,West,New,In-Store,609.23,2,0.0,1218.46,2.8,29,2024-03,2024Q1,2024
2024-03-24,Clothing,West,New,In-Store,90.63,5,0.2,362.52,3.6,46,2024-03,2024Q1,2024
2024-03-24,Books,Central,New,Online,6.81,3,0.0,20.43,3.9,42,2024-03,2024Q1,2024
